epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1037.99,1.24382,1.13203,1.56433,0.7974,0.79545,0.84458,0.59191,1.10182,1.0152,1.54317,0.0008252,0.0008252,0.0008252
91,1049.28,1.23771,1.12737,1.53694,0.83792,0.79545,0.86926,0.61811,1.08728,0.96282,1.55344,0.000812,0.000812,0.000812
92,1060.89,1.257,1.12249,1.57349,0.88764,0.75758,0.87099,0.61529,1.08223,0.95472,1.51484,0.0007988,0.0007988,0.0007988
93,1072.37,1.24978,1.10738,1.56072,0.82193,0.76931,0.86584,0.59657,1.11394,0.97094,1.55308,0.0007856,0.0007856,0.0007856
94,1083.9,1.22156,1.0616,1.52017,0.81244,0.81061,0.88296,0.63716,1.05686,0.96283,1.48136,0.0007724,0.0007724,0.0007724
95,1095.3,1.25542,1.10257,1.53651,0.87187,0.75758,0.88011,0.6274,1.07534,0.96711,1.51084,0.0007592,0.0007592,0.0007592
96,1106.59,1.26065,1.1143,1.54071,0.81446,0.80303,0.88975,0.63577,1.0629,0.94366,1.49451,0.000746,0.000746,0.000746
97,1117.9,1.23102,1.13157,1.53511,0.81434,0.88636,0.9083,0.66914,0.98896,0.90706,1.4101,0.0007328,0.0007328,0.0007328
98,1129.37,1.22263,1.09088,1.54096,0.79932,0.81475,0.87218,0.63465,1.0632,0.94809,1.50311,0.0007196,0.0007196,0.0007196
99,1140.59,1.19344,1.0713,1.50161,0.84802,0.84848,0.91372,0.66528,1.02187,0.88089,1.46038,0.0007064,0.0007064,0.0007064
100,1152.07,1.19172,1.06359,1.51043,0.85012,0.82576,0.88921,0.64494,1.03167,0.94859,1.45549,0.0006932,0.0006932,0.0006932
101,1163.38,1.23101,1.08782,1.52435,0.89849,0.80303,0.89682,0.65046,1.0741,0.91458,1.49879,0.00068,0.00068,0.00068
102,1174.88,1.18146,1.03815,1.50167,0.87569,0.8005,0.90492,0.65892,0.98724,0.89435,1.42,0.0006668,0.0006668,0.0006668
103,1186.02,1.18661,1.05739,1.50084,0.78174,0.86829,0.86494,0.62403,1.04491,0.90938,1.47614,0.0006536,0.0006536,0.0006536
104,1197.75,1.19167,1.04458,1.48078,0.83981,0.84848,0.90541,0.66311,1.04895,0.85132,1.46101,0.0006404,0.0006404,0.0006404
105,1208.96,1.17668,1.04949,1.4804,0.83955,0.83247,0.90783,0.64741,1.03724,0.8832,1.44339,0.0006272,0.0006272,0.0006272
106,1220.22,1.18926,1.0014,1.48335,0.82828,0.85606,0.91078,0.65875,1.03687,0.84441,1.4544,0.000614,0.000614,0.000614
107,1231.83,1.1965,1.01673,1.49495,0.85806,0.84848,0.92023,0.66557,1.0213,0.83626,1.45394,0.0006008,0.0006008,0.0006008
108,1243.27,1.15941,0.99233,1.46857,0.85768,0.82576,0.89677,0.664,0.97661,0.84002,1.40815,0.0005876,0.0005876,0.0005876
109,1254.69,1.18106,0.97827,1.49568,0.81923,0.84091,0.91257,0.67863,0.9682,0.79815,1.40699,0.0005744,0.0005744,0.0005744
110,1266.42,1.14804,0.99868,1.45707,0.84048,0.83822,0.90702,0.68021,0.99385,0.83077,1.41892,0.0005612,0.0005612,0.0005612
111,1277.39,1.14028,0.9779,1.44863,0.85983,0.84848,0.90589,0.66941,0.99673,0.83154,1.41392,0.000548,0.000548,0.000548
112,1288.82,1.13853,0.99098,1.43768,0.83602,0.86364,0.90973,0.68148,0.95646,0.81472,1.37088,0.0005348,0.0005348,0.0005348
113,1300.03,1.15517,1.00063,1.4643,0.84383,0.85962,0.91561,0.66441,0.97996,0.81469,1.39292,0.0005216,0.0005216,0.0005216
114,1311.43,1.15142,0.97821,1.46949,0.87712,0.76515,0.90526,0.68131,0.98108,0.82839,1.40645,0.0005084,0.0005084,0.0005084
115,1322.64,1.16723,1.00815,1.47518,0.85263,0.84091,0.91784,0.68471,1.00898,0.82886,1.40768,0.0004952,0.0004952,0.0004952
116,1333.85,1.13008,0.94659,1.44858,0.82135,0.8359,0.91085,0.6731,1.00308,0.82025,1.41568,0.000482,0.000482,0.000482
117,1345.06,1.13338,0.95232,1.42739,0.87777,0.81604,0.92316,0.68549,0.96544,0.81311,1.38122,0.0004688,0.0004688,0.0004688
118,1356.48,1.13763,0.96752,1.44579,0.90306,0.84687,0.94265,0.70593,0.97373,0.79192,1.38367,0.0004556,0.0004556,0.0004556
119,1367.92,1.13659,0.95213,1.43193,0.79307,0.87121,0.89292,0.67386,1.00041,0.82501,1.42008,0.0004424,0.0004424,0.0004424
120,1379.25,1.12822,0.97463,1.44695,0.86955,0.85849,0.92511,0.69881,0.96959,0.76592,1.37059,0.0004292,0.0004292,0.0004292
121,1390.74,1.16622,0.95555,1.4517,0.82523,0.87121,0.91397,0.6783,0.98045,0.79279,1.40183,0.000416,0.000416,0.000416
122,1402.23,1.11164,0.95312,1.40571,0.84359,0.85809,0.90717,0.68585,0.95395,0.79488,1.37469,0.0004028,0.0004028,0.0004028
123,1413.29,1.1525,0.97045,1.46586,0.88969,0.87121,0.92359,0.68664,0.98163,0.77018,1.37498,0.0003896,0.0003896,0.0003896
124,1424.85,1.13259,0.92503,1.44334,0.82555,0.89394,0.9203,0.68026,0.97445,0.77329,1.40147,0.0003764,0.0003764,0.0003764
125,1436.04,1.12665,0.96798,1.42734,0.85213,0.87317,0.93574,0.71047,0.96783,0.76764,1.39041,0.0003632,0.0003632,0.0003632
126,1447.44,1.12027,0.91841,1.40827,0.84637,0.87121,0.92406,0.69192,0.97827,0.79779,1.39108,0.00035,0.00035,0.00035
127,1458.91,1.09153,0.91425,1.40158,0.86883,0.90325,0.93903,0.6979,0.97161,0.78348,1.39068,0.0003368,0.0003368,0.0003368
128,1471,1.11572,0.924,1.39728,0.83411,0.88636,0.91149,0.68244,0.98455,0.82123,1.38925,0.0003236,0.0003236,0.0003236
129,1482.25,1.11707,0.96383,1.41934,0.85415,0.88733,0.9256,0.68663,0.96028,0.77374,1.36528,0.0003104,0.0003104,0.0003104
130,1493.67,1.08843,0.93564,1.41538,0.84438,0.90432,0.93679,0.70265,0.96863,0.74121,1.37153,0.0002972,0.0002972,0.0002972
131,1505.04,1.06559,0.87027,1.39496,0.87779,0.87061,0.92711,0.69049,0.97176,0.74676,1.38306,0.000284,0.000284,0.000284
132,1516.59,1.05717,0.91892,1.38925,0.89182,0.8744,0.93977,0.70551,0.94118,0.74137,1.36636,0.0002708,0.0002708,0.0002708
133,1527.86,1.10341,0.91386,1.41432,0.87958,0.88534,0.93431,0.6969,0.94903,0.74458,1.37393,0.0002576,0.0002576,0.0002576
134,1539.25,1.10073,0.94201,1.40876,0.81366,0.92626,0.9301,0.70189,0.95872,0.73967,1.36678,0.0002444,0.0002444,0.0002444
135,1550.34,1.07875,0.89161,1.39837,0.87555,0.90604,0.93258,0.68997,0.95435,0.75736,1.36364,0.0002312,0.0002312,0.0002312
136,1561.63,1.07196,0.90345,1.38391,0.86098,0.88636,0.93715,0.70476,0.97523,0.71991,1.3837,0.000218,0.000218,0.000218
137,1573,1.06921,0.90702,1.38373,0.86705,0.88934,0.9285,0.70302,0.96344,0.72642,1.38129,0.0002048,0.0002048,0.0002048
138,1584.42,1.04879,0.87208,1.37789,0.84865,0.89205,0.93485,0.6957,0.94449,0.73478,1.36148,0.0001916,0.0001916,0.0001916
139,1596.37,1.04987,0.87036,1.37533,0.86371,0.90152,0.939,0.70279,0.94478,0.71043,1.36337,0.0001784,0.0001784,0.0001784
140,1608.1,1.06115,0.88172,1.3791,0.88438,0.90909,0.94561,0.71876,0.92636,0.6935,1.3532,0.0001652,0.0001652,0.0001652
141,1622.14,0.9292,0.74967,1.30335,0.90231,0.89394,0.94765,0.71823,0.94821,0.70311,1.3718,0.000152,0.000152,0.000152
142,1633.15,0.95032,0.73362,1.33166,0.84116,0.90909,0.94831,0.71725,0.93042,0.70146,1.3638,0.0001388,0.0001388,0.0001388
143,1644.2,0.93386,0.73728,1.31326,0.84321,0.89394,0.93517,0.70438,0.94273,0.72316,1.384,0.0001256,0.0001256,0.0001256
144,1655.17,0.92524,0.74328,1.31579,0.88677,0.88636,0.95437,0.71922,0.92892,0.69579,1.35331,0.0001124,0.0001124,0.0001124
145,1666.16,0.95412,0.72887,1.31833,0.82599,0.91667,0.93943,0.70883,0.91895,0.70601,1.35309,9.92e-05,9.92e-05,9.92e-05
146,1677.63,0.90878,0.70472,1.29258,0.86762,0.9434,0.958,0.72503,0.90671,0.68164,1.33727,8.6e-05,8.6e-05,8.6e-05
147,1688.39,0.91732,0.70036,1.30291,0.90273,0.91667,0.95757,0.72233,0.90643,0.68345,1.34226,7.28e-05,7.28e-05,7.28e-05
148,1698.97,0.91051,0.69945,1.29388,0.8999,0.92424,0.96127,0.73477,0.89086,0.67412,1.32173,5.96e-05,5.96e-05,5.96e-05
149,1709.75,0.89739,0.72461,1.28664,0.88436,0.92698,0.95615,0.72544,0.89982,0.67766,1.33077,4.64e-05,4.64e-05,4.64e-05
150,1720.4,0.88909,0.69677,1.26619,0.88382,0.92212,0.95815,0.73525,0.89325,0.67093,1.3242,3.32e-05,3.32e-05,3.32e-05
