epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,1524.5,1.84682,1.44283,2.64912,0.86987,0.86091,0.93,0.76757,1.44673,1.07412,2.54374,0.0003632,0.0003632,0.0003632
126,1536.15,1.79301,1.3432,2.56059,0.87105,0.87121,0.91968,0.7447,1.49421,1.13736,2.58388,0.00035,0.00035,0.00035
127,1547.86,1.76354,1.31187,2.57901,0.8598,0.85606,0.93327,0.76049,1.49822,1.08689,2.5723,0.0003368,0.0003368,0.0003368
128,1560.03,1.85152,1.35369,2.62742,0.84379,0.84848,0.91522,0.73728,1.5076,1.12473,2.65417,0.0003236,0.0003236,0.0003236
129,1571.45,1.8164,1.36117,2.62183,0.8913,0.82576,0.94041,0.76411,1.49905,1.07761,2.58543,0.0003104,0.0003104,0.0003104
130,1583.07,1.82189,1.40499,2.66422,0.85515,0.84091,0.92641,0.7613,1.493,1.03098,2.56927,0.0002972,0.0002972,0.0002972
131,1594.6,1.70166,1.31315,2.54067,0.79005,0.90909,0.93423,0.76551,1.52011,1.02251,2.60408,0.000284,0.000284,0.000284
132,1606.34,1.69531,1.28242,2.54758,0.86181,0.89765,0.94106,0.7692,1.50953,0.97628,2.56431,0.0002708,0.0002708,0.0002708
133,1617.7,1.78744,1.33378,2.61805,0.90321,0.87879,0.95731,0.77656,1.50402,0.98051,2.59537,0.0002576,0.0002576,0.0002576
134,1629.09,1.73961,1.37821,2.57127,0.85964,0.88636,0.9347,0.75924,1.45046,1.07097,2.57546,0.0002444,0.0002444,0.0002444
135,1640.24,1.69605,1.29245,2.5395,0.80253,0.92366,0.94737,0.76952,1.45337,0.99269,2.53983,0.0002312,0.0002312,0.0002312
136,1651.46,1.71739,1.30478,2.54066,0.88485,0.87121,0.94436,0.76301,1.45271,0.99937,2.52748,0.000218,0.000218,0.000218
137,1663.17,1.73491,1.34684,2.5676,0.8412,0.90909,0.93979,0.77054,1.39904,0.98846,2.50182,0.0002048,0.0002048,0.0002048
138,1674.7,1.66101,1.2678,2.50016,0.9055,0.87106,0.93337,0.76783,1.38348,1.02548,2.49493,0.0001916,0.0001916,0.0001916
139,1686.58,1.66995,1.31325,2.54535,0.92015,0.87301,0.95897,0.78162,1.41551,0.91633,2.54818,0.0001784,0.0001784,0.0001784
140,1698.73,1.70059,1.27154,2.57939,0.91123,0.86364,0.94409,0.7748,1.38854,0.97376,2.54659,0.0001652,0.0001652,0.0001652
141,1713.06,1.41716,0.96038,2.39126,0.91034,0.90152,0.94524,0.76971,1.41588,0.96995,2.5254,0.000152,0.000152,0.000152
142,1724.36,1.41305,0.91902,2.42183,0.90301,0.89394,0.94418,0.77411,1.38977,0.97055,2.51195,0.0001388,0.0001388,0.0001388
143,1735.6,1.41016,0.91924,2.38014,0.92392,0.82803,0.94167,0.76897,1.36846,1.02534,2.51133,0.0001256,0.0001256,0.0001256
144,1746.58,1.41175,0.91049,2.41208,0.85505,0.93845,0.94842,0.77811,1.39203,0.96162,2.50995,0.0001124,0.0001124,0.0001124
145,1757.84,1.40311,0.85255,2.36579,0.84387,0.94176,0.94685,0.77308,1.36784,0.99274,2.5274,9.92e-05,9.92e-05,9.92e-05
146,1769.25,1.38008,0.85982,2.36182,0.9177,0.84474,0.94484,0.77134,1.39869,0.9691,2.52983,8.6e-05,8.6e-05,8.6e-05
147,1780.32,1.37116,0.87309,2.38602,0.85715,0.91667,0.95166,0.78839,1.37096,0.94259,2.50245,7.28e-05,7.28e-05,7.28e-05
148,1791.01,1.35182,0.85492,2.34909,0.90321,0.84091,0.94961,0.78393,1.36377,0.96498,2.48637,5.96e-05,5.96e-05,5.96e-05
149,1801.65,1.33856,0.86353,2.33689,0.86356,0.93939,0.953,0.78889,1.36716,0.95301,2.49695,4.64e-05,4.64e-05,4.64e-05
150,1812.56,1.32142,0.84595,2.30013,0.88429,0.86842,0.95042,0.78979,1.36223,0.93599,2.47836,3.32e-05,3.32e-05,3.32e-05
